"Story","Title","Result","Date","Stability","Duration (s)"
"Login to the pet store","Login to the pet store","ERROR","2021-07-06T15:54:51.161-05:00[America/Bogota]","0.0","47.26"
"I want to register at the pet store","I want to register at the pet store","SUCCESS","2021-07-06T17:04:36.004-05:00[America/Bogota]","0.0","35.57"
