"Story","Title","Result","Date","Stability","Duration (s)"
"Create a new bank account","Create a new bank account","SUCCESS","2021-07-01T16:14:56.398-05:00[America/Bogota]","0.0","25.08"
"Login to bank","Login to bank","SUCCESS","2021-07-01T13:32:07.369-05:00[America/Bogota]","0.0","20.0"
