"Story","Title","Result","Date","Stability","Duration (s)"
"Comprobar la creacion de un nuevo usuario","Creacion de un nuevo usuario","FAILURE","2021-07-22T10:44:56.2721273-05:00[America/Bogota]","0.0","38.52"
"Verificar el login en paraBank","Realizar el login en la pagina","SUCCESS","2021-06-30T15:19:39.106-05:00[America/Bogota]","0.0","28.71"
